id,value,key,type
4348424,Gröbmühlstraße,name,regular
4348424,sett,surface,regular
4350122,JOSM,created_by,regular
4350122,living_street,highway,regular
4350122,Lohestraße,name,regular
4353125,residential,highway,regular
4353125,no,lane_markings,regular
4353125,yes,lit,regular
4353125,30,maxspeed,regular
4353125,DE:zone30,type,maxspeed
4353125,Irschenhauser Straße,name,regular
4353125,asphalt,surface,regular
4356320,residential,highway,regular
4356320,Kratzerimbach,name,regular
4360994,Gewerbegebiet Dachau-Ost;Karlsfeld;KZ-Gedenkstätte,destination,regular
4360994,trunk_link,highway,regular
4360994,yes,oneway,regular
4361331,residential,highway,regular
4361331,30,maxspeed,regular
4361331,Drosselstraße,name,regular
4361331,DE:zone:30,maxspeed,source
4361331,asphalt,surface,regular
4361433,residential,highway,regular
4361433,7.5,maxweight,regular
4361433,Birkenstraße,name,regular
4363202,residential,highway,regular
4363202,Am Lohmühlbach,name,regular
4363202,separate,sidewalk,regular
4363355,no,hgv,regular
4363355,residential,highway,regular
4363355,30,maxspeed,regular
4363355,Brücklangerstraße,name,regular
4363355,separate,sidewalk,regular
4364373,yes,access,regular
4364373,yes,bicycle,regular
4364373,no,both,cycleway
4364373,yes,foot,regular
4364373,unclassified,highway,regular
4364373,yes,horse,regular
4364373,no,lane_markings,regular
4364373,30,maxspeed,regular
4364373,DE:zone30,type,maxspeed
4364373,Edeltraut-Klapproth-Straße,name,regular
4364373,asphalt,surface,regular
4364772,residential,highway,regular
4364772,yes,lit,regular
4364772,30,maxspeed,regular
4364772,Praschlerstraße,name,regular
4364772,both,sidewalk,regular
4364772,asphalt,surface,regular
4365191,service,highway,regular
4365191,Mariabrunner Straße,name,regular
4366494,unclassified,highway,regular
4366494,30,maxspeed,regular
4366494,Altenhauser Straße,name,regular
4366494,no,sidewalk,regular
4366494,good,smoothness,regular
4366494,asphalt,surface,regular
4367658,no,both,cycleway
4367658,unclassified,highway,regular
4367658,50,maxspeed,regular
4367658,Unterweilbacher Straße,name,regular
4367658,yes,oneway,regular
4367658,asphalt,surface,regular
4369491,residential,highway,regular
4369491,yes,lit,regular
4369491,D2llL35qaAcwzEncadralQ,mapillary,regular
4369491,Waldsiedlung,name,regular
4369491,2019-08-18,date,survey
4389030,use_sidepath,bicycle,regular
4389030,primary,highway,regular
4389030,5,lanes,regular
4389030,3,backward,lanes
4389030,2,forward,lanes
4389030,50,maxspeed,regular
